Date,Household Final Consumption Expenditure
2000 Q1,1317540
2000 Q2,1348116
2000 Q3,1339907
2000 Q4,1349704
2001 Q1,1373330
2001 Q2,1370692
2001 Q3,1398779
2001 Q4,1423958
2002 Q1,1419225
2002 Q2,1459570
2002 Q3,1484568
2002 Q4,1486023
2003 Q1,1509365
2003 Q2,1532375
2003 Q3,1551941
2003 Q4,1569058
2004 Q1,1605371
2004 Q2,1600237
2004 Q3,1647064
2004 Q4,1673389
2005 Q1,1684465
2005 Q2,1693542
2005 Q3,1714721
2005 Q4,1724723
2006 Q1,1744025
2006 Q2,1778190
2006 Q3,1786076
2006 Q4,1793892
2007 Q1,1815535
2007 Q2,1858455
2007 Q3,1876060
2007 Q4,1891652
2008 Q1,1911992
2008 Q2,1911452
2008 Q3,1954952
2008 Q4,1951480
2009 Q1,1950181
2009 Q2,1990975
2009 Q3,1981039
2009 Q4,2002180
2010 Q1,2028841
2010 Q2,2035666
2010 Q3,2039663
2010 Q4,2103591
2011 Q1,2118572
2011 Q2,2139960
2011 Q3,2179551
2011 Q4,2227828
2012 Q1,2264943
2012 Q2,2291552
2012 Q3,2331543
2012 Q4,2370336
2013 Q1,2386372
2013 Q2,2416106
2013 Q3,2482297
2013 Q4,2511281
2014 Q1,2536342
2014 Q2,2561259
2014 Q3,2613275
2014 Q4,2647316
2015 Q1,2689875
2015 Q2,2729547
2015 Q3,2779057
2015 Q4,2824221
2016 Q1,2885516
2016 Q2,2931520
2016 Q3,2984581
2016 Q4,3013360
2017 Q1,3058871
2017 Q2,3107961
2017 Q3,3151299
2017 Q4,3198750
2018 Q1,3236276
2018 Q2,3306102
2018 Q3,3325441
2018 Q4,3367519
2019 Q1,3429717
2019 Q2,3512763
2019 Q3,3520591
2019 Q4,3555520
2020 Q1,3427728
2020 Q2,3007407
2020 Q3,3208017
2020 Q4,3251519
2021 Q1,3261290
2021 Q2,3257636
2021 Q3,3423817
2021 Q4,3494220
2022 Q1,3567416
2022 Q2,3565196
2022 Q3,3688124
2022 Q4,3732535
2023 Q1,3774887
2023 Q2,3785043
2023 Q3,3867026
2023 Q4,3933752
2024 Q1,3945827
2024 Q2,3979275
2024 Q3,4062156
2024 Q4,4122637
2025 Q1,4154067
2025 Q2,4194860
2025 Q3,4224486
2025 Q4,4279509
